Date,Type,Details,ticker
2020-01-03,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-01-03,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-01-07,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-01-07,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-01-17,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-01-17,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-02-14,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-02-14,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-02-21,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-02-21,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-02-25,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-02-26,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-02-27,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-02-27,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-02-28,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-02-28,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-02,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-02,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-03,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-03,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-06,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-06,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-09,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-11,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-11,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-12,Contradiction MA-RSI,"{'MA_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-03-12,Contradiction MACD-RSI,"{'MACD_Signal': 'Sell', 'RSI_Signal': 'Buy'}",SPY
2020-04-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-04-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-04-13,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-04-13,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-04-14,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-04-14,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-04-24,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
